Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-01-27 252.92 -2.41 GPS
DUCK P-100 1998-01-27 253.52 -2.41 GPS
DUCK P-100 1998-01-27 254.12 -2.42 GPS
DUCK P-100 1998-01-27 254.62 -2.43 GPS
DUCK P-100 1998-01-27 255.22 -2.44 GPS
DUCK P-100 1998-01-27 255.92 -2.45 GPS
DUCK P-100 1998-01-27 256.52 -2.46 GPS
DUCK P-100 1998-01-27 257.12 -2.48 GPS
DUCK P-100 1998-01-27 257.62 -2.49 GPS
DUCK P-100 1998-01-27 258.22 -2.50 GPS
DUCK P-100 1998-01-27 258.92 -2.52 GPS
DUCK P-100 1998-01-27 259.32 -2.53 GPS
DUCK P-100 1998-01-27 260.02 -2.53 GPS
DUCK P-100 1998-01-27 260.62 -2.56 GPS
DUCK P-100 1998-01-27 261.22 -2.57 GPS
DUCK P-100 1998-01-27 261.72 -2.57 GPS
DUCK P-100 1998-01-27 262.32 -2.59 GPS
DUCK P-100 1998-01-27 262.82 -2.60 GPS
DUCK P-100 1998-01-27 263.42 -2.62 GPS
DUCK P-100 1998-01-27 264.12 -2.64 GPS
DUCK P-100 1998-01-27 264.72 -2.64 GPS
DUCK P-100 1998-01-27 265.32 -2.66 GPS
DUCK P-100 1998-01-27 265.82 -2.68 GPS
DUCK P-100 1998-01-27 266.42 -2.70 GPS
DUCK P-100 1998-01-27 266.92 -2.70 GPS
DUCK P-100 1998-01-27 267.52 -2.72 GPS
DUCK P-100 1998-01-27 268.12 -2.73 GPS
DUCK P-100 1998-01-27 268.72 -2.75 GPS
DUCK P-100 1998-01-27 269.22 -2.76 GPS
DUCK P-100 1998-01-27 269.92 -2.77 GPS
DUCK P-100 1998-01-27 270.32 -2.79 GPS
DUCK P-100 1998-01-27 271.02 -2.79 GPS
DUCK P-100 1998-01-27 271.62 -2.81 GPS
DUCK P-100 1998-01-27 272.22 -2.83 GPS
DUCK P-100 1998-01-27 272.72 -2.85 GPS
DUCK P-100 1998-01-27 273.32 -2.85 GPS
DUCK P-100 1998-01-27 273.92 -2.87 GPS
DUCK P-100 1998-01-27 274.42 -2.89 GPS
DUCK P-100 1998-01-27 275.02 -2.90 GPS
DUCK P-100 1998-01-27 275.52 -2.91 GPS
DUCK P-100 1998-01-27 276.12 -2.93 GPS
DUCK P-100 1998-01-27 277.92 -2.98 GPS
DUCK P-100 1998-01-27 278.52 -2.98 GPS
DUCK P-100 1998-01-27 279.12 -3.01 GPS
